estaca,x,y
67,614039.1255,9417989.1206
3572,614263.1255,9417925.4626
68,614039.1255,9417997.1206
3573,614263.1255,9417932.7626
69,614039.1255,9418004.6206
3574,614263.1255,9417939.9626
70,614039.1255,9418012.1206
3575,614263.1255,9417947.9626
71,614039.1255,9418016.4786
3576,614263.1255,9417955.4626
72,614039.1255,9418023.7786
3577,614263.1255,9417962.9626
73,614039.1255,9418031.0786
3578,614263.1255,9417967.3206
74,614039.1255,9418038.2786
3579,614263.1255,9417974.6206
75,614039.1255,9418046.2786
3580,614263.1255,9417981.9206
76,614039.1255,9418053.7786
3581,614263.1255,9417989.1206
77,614039.1255,9418061.2786
3582,614263.1255,9417997.1206
78,614039.1255,9418065.6366
3583,614263.1255,9418004.6206
79,614039.1255,9418072.9366
3584,614263.1255,9418012.1206
80,614039.1255,9418080.2366
3585,614263.1255,9418016.4786
81,614039.1255,9418087.4366
3586,614263.1255,9418023.7786
82,614039.1255,9418095.4366
3587,614263.1255,9418031.0786
83,614039.1255,9418102.9366
3588,614263.1255,9418038.2786
84,614039.1255,9418110.4366
3589,614263.1255,9418046.2786
85,614039.1255,9418114.7946
3590,614263.1255,9418053.7786
86,614039.1255,9418122.0946
3591,614263.1255,9418061.2786
87,614039.1255,9418129.3946
3592,614263.1255,9418065.6366
88,614039.1255,9418136.5946
3593,614263.1255,9418072.9366
89,614039.1255,9418144.5946
3594,614263.1255,9418080.2366
90,614039.1255,9418152.0946
3595,614263.1255,9418087.4366
91,614039.1255,9418159.5946
3596,614263.1255,9418095.4366
92,614039.1255,9418163.9526
3597,614263.1255,9418102.9366
93,614039.1255,9418171.2526
3598,614263.1255,9418110.4366
94,614039.1255,9418178.5526
3599,614263.1255,9418114.7946
95,614039.1255,9418185.7526
3600,614263.1255,9418122.0946
96,614039.1255,9418193.7526
3601,614263.1255,9418129.3946
97,614039.1255,9418201.2526
3602,614263.1255,9418136.5946
98,614039.1255,9418208.7526
3603,614263.1255,9418144.5946
99,614039.1255,9418213.1106
3604,614263.1255,9418152.0946
100,614039.1255,9418220.4106
3605,614263.1255,9418159.5946
101,614039.1255,9418227.7106
3606,614263.1255,9418163.9526
102,614039.1255,9418234.9106
3607,614263.1255,9418171.2526
103,614039.1255,9418242.9106
3608,614263.1255,9418178.5526
104,614039.1255,9418250.4106
3609,614263.1255,9418185.7526
105,614039.1255,9418257.9106
3610,614263.1255,9418193.7526
106,614039.1255,9418262.2686
3611,614263.1255,9418201.2526
107,614039.1255,9418269.5686
3612,614263.1255,9418208.7526
108,614039.1255,9418276.8686
3613,614263.1255,9418213.1106
109,614039.1255,9418284.0686
3614,614263.1255,9418220.4106
110,614039.1255,9418292.0686
3615,614263.1255,9418227.7106
111,614039.1255,9418299.5686
3616,614263.1255,9418234.9106
112,614039.1255,9418307.0686
3617,614263.1255,9418242.9106
113,614039.1255,9418311.4266
3618,614263.1255,9418250.4106
114,614039.1255,9418318.7266
3619,614263.1255,9418257.9106
115,614039.1255,9418326.0266
3620,614263.1255,9418262.2686
116,614039.1255,9418333.2266
3621,614263.1255,9418269.5686
117,614039.1255,9418341.2266
3622,614263.1255,9418276.8686
118,614039.1255,9418348.7266
3623,614263.1255,9418284.0686
119,614039.1255,9418356.2266
3624,614263.1255,9418292.0686
120,614039.1255,9418360.5846
3625,614263.1255,9418299.5686
121,614039.1255,9418367.8846
3626,614263.1255,9418307.0686
122,614039.1255,9418375.1846
3627,614263.1255,9418311.4266
123,614039.1255,9418382.3846
3628,614263.1255,9418318.7266
124,614039.1255,9418390.3846
3629,614263.1255,9418326.0266
125,614039.1255,9418397.8846
3630,614263.1255,9418333.2266
126,614039.1255,9418405.3846
3631,614263.1255,9418341.2266
127,614039.1255,9418409.7426
3632,614263.1255,9418348.7266
128,614039.1255,9418417.0426
3633,614263.1255,9418356.2266
129,614039.1255,9418424.3426
3634,614263.1255,9418360.5846
130,614039.1255,9418431.5426
3635,614263.1255,9418367.8846
131,614039.1255,9418439.5426
3636,614263.1255,9418375.1846
132,614039.1255,9418447.0426
3637,614263.1255,9418382.3846
133,614039.1255,9418454.5426
3638,614263.1255,9418390.3846
134,614039.1255,9418458.9006
3639,614263.1255,9418397.8846
135,614039.1255,9418466.2006
3640,614263.1255,9418405.3846
136,614039.1255,9418473.5006
3641,614263.1255,9418409.7426
137,614039.1255,9418480.7006
3642,614263.1255,9418417.0426
138,614039.1255,9418488.7006
3643,614263.1255,9418424.3426
139,614039.1255,9418496.2006
3644,614263.1255,9418431.5426
140,614039.1255,9418503.7006
3645,614263.1255,9418439.5426
141,614039.1255,9418508.0586
3646,614263.1255,9418447.0426
142,614039.1255,9418515.3586
3647,614263.1255,9418454.5426
143,614039.1255,9418522.6586
3648,614263.1255,9418458.9006
144,614039.1255,9418529.8586
3649,614263.1255,9418466.2006
145,614039.1255,9418537.8586
3650,614263.1255,9418473.5006
146,614039.1255,9418545.3586
3651,614263.1255,9418480.7006
147,614039.1255,9418552.8586
3652,614263.1255,9418488.7006
148,614039.1255,9418557.2166
3653,614263.1255,9418496.2006
149,614039.1255,9418564.5166
3654,614263.1255,9418503.7006
150,614039.1255,9418571.8166
3655,614263.1255,9418508.0586
151,614039.1255,9418579.0166
3656,614263.1255,9418515.3586
152,614039.1255,9418587.0166
3657,614263.1255,9418522.6586
153,614039.1255,9418594.5166
3658,614263.1255,9418529.8586
154,614039.1255,9418602.0166
3659,614263.1255,9418537.8586
155,614039.1255,9418606.3746
3660,614263.1255,9418545.3586
156,614039.1255,9418613.6746
3661,614263.1255,9418552.8586
157,614039.1255,9418620.9746
3662,614263.1255,9418557.2166
158,614039.1255,9418628.1746
3663,614263.1255,9418564.5166
159,614039.1255,9418636.1746
3664,614263.1255,9418571.8166
160,614039.1255,9418643.6746
3665,614263.1255,9418579.0166
161,614039.1255,9418651.1746
3666,614263.1255,9418587.0166
162,614039.1255,9418655.5326
3667,614263.1255,9418594.5166
163,614039.1255,9418662.8326
3668,614263.1255,9418602.0166
164,614039.1255,9418670.1326
3669,614263.1255,9418606.3746
165,614039.1255,9418677.3326
3670,614263.1255,9418613.6746
166,614039.1255,9418685.3326
3671,614263.1255,9418620.9746
167,614039.1255,9418692.8326
3672,614263.1255,9418628.1746
168,614039.1255,9418700.3326
3673,614263.1255,9418636.1746
169,614039.1255,9418704.6906
3674,614263.1255,9418643.6746
170,614039.1255,9418711.9906
3675,614263.1255,9418651.1746
171,614039.1255,9418719.2906
3676,614263.1255,9418655.5326
172,614039.1255,9418726.4906
3677,614263.1255,9418662.8326
173,614039.1255,9418734.4906
3678,614263.1255,9418670.1326
174,614039.1255,9418741.9906
3679,614263.1255,9418677.3326
175,614039.1255,9418749.4906
3680,614263.1255,9418685.3326
176,614039.1255,9418753.8486
3681,614263.1255,9418692.8326
177,614039.1255,9418761.1486
3682,614263.1255,9418700.3326
178,614039.1255,9418768.4486
3683,614263.1255,9418704.6906
179,614039.1255,9418775.6486
3684,614263.1255,9418711.9906
180,614039.1255,9418783.6486
3685,614263.1255,9418719.2906
181,614039.1255,9418791.1486
3686,614263.1255,9418726.4906
182,614039.1255,9418798.6486
3687,614263.1255,9418734.4906
183,614039.1255,9418803.0066
3688,614263.1255,9418741.9906
184,614039.1255,9418810.3066
3689,614263.1255,9418749.4906
185,614039.1255,9418817.6066
3690,614263.1255,9418753.8486
186,614039.1255,9418824.8066
3691,614263.1255,9418761.1486
187,614039.1255,9418832.8066
3692,614263.1255,9418768.4486
188,614039.1255,9418840.3066
3693,614263.1255,9418775.6486
189,614039.1255,9418847.8066
3694,614263.1255,9418783.6486
190,614039.1255,9418852.1646
3695,614263.1255,9418791.1486
191,614039.1255,9418859.4646
3696,614263.1255,9418798.6486
192,614039.1255,9418866.7646
3697,614263.1255,9418803.0066
193,614039.1255,9418873.9646
3698,614263.1255,9418810.3066
194,614039.1255,9418881.9646
3699,614263.1255,9418817.6066
195,614039.1255,9418889.4646
3700,614263.1255,9418824.8066
196,614039.1255,9418896.9646
3701,614263.1255,9418832.8066
197,614039.1255,9418901.3226
3702,614263.1255,9418840.3066
198,614039.1255,9418908.6226
3703,614263.1255,9418847.8066
199,614039.1255,9418915.9226
3704,614263.1255,9418852.1646
200,614039.1255,9418923.1226
3705,614263.1255,9418859.4646
201,614039.1255,9418931.1226
3706,614263.1255,9418866.7646
202,614039.1255,9418938.6226
3707,614263.1255,9418873.9646
203,614039.1255,9418946.1226
3708,614263.1255,9418881.9646
204,614039.1255,9418950.4806
3709,614263.1255,9418889.4646
205,614039.1255,9418957.7806
3710,614263.1255,9418896.9646
206,614039.1255,9418965.0806
3711,614263.1255,9418901.3226
207,614039.1255,9418972.2806
3712,614263.1255,9418908.6226
208,614039.1255,9418980.2806
3713,614263.1255,9418915.9226
209,614039.1255,9418987.7806
3714,614263.1255,9418923.1226
210,614039.1255,9418995.2806
3715,614263.1255,9418931.1226
211,614039.1255,9418999.6386
3716,614263.1255,9418938.6226
212,614039.1255,9419006.9386
3717,614263.1255,9418946.1226
213,614039.1255,9419014.2386
3718,614263.1255,9418950.4806
214,614039.1255,9419021.4386
3719,614263.1255,9418957.7806
215,614039.1255,9419029.4386
3720,614263.1255,9418965.0806
216,614039.1255,9419036.9386
3721,614263.1255,9418972.2806
217,614039.1255,9419044.4386
3722,614263.1255,9418980.2806
218,614039.1255,9419048.7966
3723,614263.1255,9418987.7806
219,614039.1255,9419056.0966
3724,614263.1255,9418995.2806
220,614039.1255,9419063.3966
3725,614263.1255,9418999.6386
221,614039.1255,9419070.5966
3726,614263.1255,9419006.9386
222,614039.1255,9419078.5966
3727,614263.1255,9419014.2386
223,614039.1255,9419086.0966
3728,614263.1255,9419021.4386
224,614039.1255,9419093.5966
3729,614263.1255,9419029.4386
225,614052.3255,9417524.8986
3730,614263.1255,9419036.9386
226,614052.3255,9417532.1986
3731,614263.1255,9419044.4386
227,614052.3255,9417539.4986
3732,614263.1255,9419048.7966
228,614052.3255,9417546.6986
3733,614263.1255,9419056.0966
229,614052.3255,9417554.6986
3734,614263.1255,9419063.3966
230,614052.3255,9417562.1986
3735,614263.1255,9419070.5966
231,614052.3255,9417569.6986
3736,614263.1255,9419078.5966
232,614052.3255,9417574.0566
3737,614263.1255,9419086.0966
233,614052.3255,9417581.3566
3738,614263.1255,9419093.5966
234,614052.3255,9417588.6566
3739,614276.3255,9417524.8986
235,614052.3255,9417595.8566
3740,614276.3255,9417532.1986
236,614052.3255,9417603.8566
3741,614276.3255,9417539.4986
237,614052.3255,9417611.3566
3742,614276.3255,9417546.6986
238,614052.3255,9417618.8566
3743,614276.3255,9417554.6986
239,614052.3255,9417623.2146
3744,614276.3255,9417562.1986
240,614052.3255,9417630.5146
3745,614276.3255,9417569.6986
241,614052.3255,9417637.8146
3746,614276.3255,9417574.0566
242,614052.3255,9417645.0146
3747,614276.3255,9417581.3566
243,614052.3255,9417653.0146
3748,614276.3255,9417588.6566
244,614052.3255,9417660.5146
3749,614276.3255,9417595.8566
245,614052.3255,9417668.0146
3750,614276.3255,9417603.8566
246,614052.3255,9417672.3726
3751,614276.3255,9417611.3566
247,614052.3255,9417679.6726
3752,614276.3255,9417618.8566
248,614052.3255,9417686.9726
3753,614276.3255,9417623.2146
249,614052.3255,9417694.1726
3754,614276.3255,9417630.5146
250,614052.3255,9417702.1726
3755,614276.3255,9417637.8146
251,614052.3255,9417709.6726
3756,614276.3255,9417645.0146
252,614052.3255,9417717.1726
3757,614276.3255,9417653.0146
253,614052.3255,9417721.5306
3758,614276.3255,9417660.5146
254,614052.3255,9417728.8306
3759,614276.3255,9417668.0146
255,614052.3255,9417736.1306
3760,614276.3255,9417672.3726
256,614052.3255,9417743.3306
3761,614276.3255,9417679.6726
257,614052.3255,9417751.3306
3762,614276.3255,9417686.9726
258,614052.3255,9417758.8306
3763,614276.3255,9417694.1726
259,614052.3255,9417766.3306
3764,614276.3255,9417702.1726
260,614052.3255,9417770.6886
3765,614276.3255,9417709.6726
261,614052.3255,9417777.9886
3766,614276.3255,9417717.1726
262,614052.3255,9417785.2886
3767,614276.3255,9417721.5306
263,614052.3255,9417792.4886
3768,614276.3255,9417728.8306
264,614052.3255,9417800.4886
3769,614276.3255,9417736.1306
265,614052.3255,9417807.9886
3770,614276.3255,9417743.3306
266,614052.3255,9417815.4886
3771,614276.3255,9417751.3306
267,614052.3255,9417819.8466
3772,614276.3255,9417758.8306
268,614052.3255,9417827.1466
3773,614276.3255,9417766.3306
269,614052.3255,9417834.4466
3774,614276.3255,9417770.6886
270,614052.3255,9417841.6466
3775,614276.3255,9417777.9886
271,614052.3255,9417849.6466
3776,614276.3255,9417785.2886
272,614052.3255,9417857.1466
3777,614276.3255,9417792.4886
273,614052.3255,9417864.6466
3778,614276.3255,9417800.4886
274,614052.3255,9417869.0046
3779,614276.3255,9417807.9886
275,614052.3255,9417876.3046
3780,614276.3255,9417815.4886
276,614052.3255,9417883.6046
3781,614276.3255,9417819.8466
277,614052.3255,9417890.8046
3782,614276.3255,9417827.1466
278,614052.3255,9417898.8046
3783,614276.3255,9417834.4466
279,614052.3255,9417906.3046
3784,614276.3255,9417841.6466
280,614052.3255,9417913.8046
3785,614276.3255,9417849.6466
281,614052.3255,9417918.1626
3786,614276.3255,9417857.1466
282,614052.3255,9417925.4626
3787,614276.3255,9417864.6466
283,614052.3255,9417932.7626
3788,614276.3255,9417869.0046
284,614052.3255,9417939.9626
3789,614276.3255,9417876.3046
285,614052.3255,9417947.9626
3790,614276.3255,9417883.6046
286,614052.3255,9417955.4626
3791,614276.3255,9417890.8046
287,614052.3255,9417962.9626
3792,614276.3255,9417898.8046
288,614052.3255,9417967.3206
3793,614276.3255,9417906.3046
289,614052.3255,9417974.6206
3794,614276.3255,9417913.8046
290,614052.3255,9417981.9206
3795,614276.3255,9417918.1626
291,614052.3255,9417989.1206
3796,614276.3255,9417925.4626
292,614052.3255,9417997.1206
3797,614276.3255,9417932.7626
293,614052.3255,9418004.6206
3798,614276.3255,9417939.9626
294,614052.3255,9418012.1206
3799,614276.3255,9417947.9626
295,614052.3255,9418016.4786
3800,614276.3255,9417955.4626
296,614052.3255,9418023.7786
3801,614276.3255,9417962.9626
297,614052.3255,9418031.0786
3802,614276.3255,9417967.3206
298,614052.3255,9418038.2786
3803,614276.3255,9417974.6206
299,614052.3255,9418046.2786
3804,614276.3255,9417981.9206
300,614052.3255,9418053.7786
3805,614276.3255,9417989.1206
301,614052.3255,9418061.2786
3806,614276.3255,9417997.1206
302,614052.3255,9418065.6366
3807,614276.3255,9418004.6206
303,614052.3255,9418072.9366
3808,614276.3255,9418012.1206
304,614052.3255,9418080.2366
3809,614276.3255,9418016.4786
305,614052.3255,9418087.4366
3810,614276.3255,9418023.7786
306,614052.3255,9418095.4366
3811,614276.3255,9418031.0786
307,614052.3255,9418102.9366
3812,614276.3255,9418038.2786
308,614052.3255,9418110.4366
3813,614276.3255,9418046.2786
309,614052.3255,9418114.7946
3814,614276.3255,9418053.7786
310,614052.3255,9418122.0946
3815,614276.3255,9418061.2786
311,614052.3255,9418129.3946
3816,614276.3255,9418065.6366
312,614052.3255,9418136.5946
3817,614276.3255,9418072.9366
313,614052.3255,9418144.5946
3818,614276.3255,9418080.2366
314,614052.3255,9418152.0946
3819,614276.3255,9418087.4366
315,614052.3255,9418159.5946
3820,614276.3255,9418095.4366
316,614052.3255,9418163.9526
3821,614276.3255,9418102.9366
317,614052.3255,9418171.2526
3822,614276.3255,9418110.4366
318,614052.3255,9418178.5526
3823,614276.3255,9418114.7946
319,614052.3255,9418185.7526
3824,614276.3255,9418122.0946
320,614052.3255,9418193.7526
3825,614276.3255,9418129.3946
321,614052.3255,9418201.2526
3826,614276.3255,9418136.5946
322,614052.3255,9418208.7526
3827,614276.3255,9418144.5946
323,614052.3255,9418213.1106
3828,614276.3255,9418152.0946
324,614052.3255,9418220.4106
3829,614276.3255,9418159.5946
325,614052.3255,9418227.7106
3830,614276.3255,9418163.9526
326,614052.3255,9418234.9106
3831,614276.3255,9418171.2526
327,614052.3255,9418242.9106
3832,614276.3255,9418178.5526
328,614052.3255,9418250.4106
3833,614276.3255,9418185.7526
329,614052.3255,9418257.9106
3834,614276.3255,9418193.7526
330,614052.3255,9418262.2686
3835,614276.3255,9418201.2526
331,614052.3255,9418269.5686
3836,614276.3255,9418208.7526
332,614052.3255,9418276.8686
3837,614276.3255,9418213.1106
333,614052.3255,9418284.0686
3838,614276.3255,9418220.4106
334,614052.3255,9418292.0686
3839,614276.3255,9418227.7106
335,614052.3255,9418299.5686
3840,614276.3255,9418234.9106
336,614052.3255,9418307.0686
3841,614276.3255,9418242.9106
337,614052.3255,9418311.4266
3842,614276.3255,9418250.4106
338,614052.3255,9418318.7266
3843,614276.3255,9418257.9106
339,614052.3255,9418326.0266
3844,614276.3255,9418262.2686
340,614052.3255,9418333.2266
3845,614276.3255,9418269.5686
341,614052.3255,9418341.2266
3846,614276.3255,9418276.8686
342,614052.3255,9418348.7266
3847,614276.3255,9418284.0686
343,614052.3255,9418356.2266
3848,614276.3255,9418292.0686
344,614052.3255,9418360.5846
3849,614276.3255,9418299.5686
345,614052.3255,9418367.8846
3850,614276.3255,9418307.0686
346,614052.3255,9418375.1846
3851,614276.3255,9418311.4266
347,614052.3255,9418382.3846
3852,614276.3255,9418318.7266
348,614052.3255,9418390.3846
3853,614276.3255,9418326.0266
349,614052.3255,9418397.8846
3854,614276.3255,9418333.2266
350,614052.3255,9418405.3846
3855,614276.3255,9418341.2266
351,614052.3255,9418409.7426
3856,614276.3255,9418348.7266
352,614052.3255,9418417.0426
3857,614276.3255,9418356.2266
353,614052.3255,9418424.3426
3858,614276.3255,9418360.5846
354,614052.3255,9418431.5426
3859,614276.3255,9418367.8846
355,614052.3255,9418439.5426
3860,614276.3255,9418375.1846
356,614052.3255,9418447.0426
3861,614276.3255,9418382.3846
357,614052.3255,9418454.5426
3862,614276.3255,9418390.3846
358,614052.3255,9418458.9006
3863,614276.3255,9418397.8846
359,614052.3255,9418466.2006
3864,614276.3255,9418405.3846
360,614052.3255,9418473.5006
3865,614276.3255,9418409.7426
361,614052.3255,9418480.7006
3866,614276.3255,9418417.0426
362,614052.3255,9418488.7006
3867,614276.3255,9418424.3426
363,614052.3255,9418496.2006
3868,614276.3255,9418431.5426
364,614052.3255,9418503.7006
3869,614276.3255,9418439.5426
365,614052.3255,9418508.0586
3870,614276.3255,9418447.0426
366,614052.3255,9418515.3586
3871,614276.3255,9418454.5426
367,614052.3255,9418522.6586
3872,614276.3255,9418458.9006
368,614052.3255,9418529.8586
3873,614276.3255,9418466.2006
369,614052.3255,9418537.8586
3874,614276.3255,9418473.5006
370,614052.3255,9418545.3586
3875,614276.3255,9418480.7006
371,614052.3255,9418552.8586
3876,614276.3255,9418488.7006
372,614052.3255,9418557.2166
3877,614276.3255,9418496.2006
373,614052.3255,9418564.5166
3878,614276.3255,9418503.7006
374,614052.3255,9418571.8166
3879,614276.3255,9418508.0586
375,614052.3255,9418579.0166
3880,614276.3255,9418515.3586
376,614052.3255,9418587.0166
3881,614276.3255,9418522.6586
377,614052.3255,9418594.5166
3882,614276.3255,9418529.8586
378,614052.3255,9418602.0166
3883,614276.3255,9418537.8586
379,614052.3255,9418606.3746
3884,614276.3255,9418545.3586
380,614052.3255,9418613.6746
3885,614276.3255,9418552.8586
381,614052.3255,9418620.9746
3886,614276.3255,9418557.2166
382,614052.3255,9418628.1746
3887,614276.3255,9418564.5166
383,614052.3255,9418636.1746
3888,614276.3255,9418571.8166
384,614052.3255,9418643.6746
3889,614276.3255,9418579.0166
385,614052.3255,9418651.1746
3890,614276.3255,9418587.0166
386,614052.3255,9418655.5326
3891,614276.3255,9418594.5166
387,614052.3255,9418662.8326
3892,614276.3255,9418602.0166
388,614052.3255,9418670.1326
3893,614276.3255,9418606.3746
389,614052.3255,9418677.3326
3894,614276.3255,9418613.6746
390,614052.3255,9418685.3326
3895,614276.3255,9418620.9746
391,614052.3255,9418692.8326
3896,614276.3255,9418628.1746
392,614052.3255,9418700.3326
3897,614276.3255,9418636.1746
393,614052.3255,9418704.6906
3898,614276.3255,9418643.6746
394,614052.3255,9418711.9906
3899,614276.3255,9418651.1746
395,614052.3255,9418719.2906
3900,614276.3255,9418655.5326
396,614052.3255,9418726.4906
3901,614276.3255,9418662.8326
397,614052.3255,9418734.4906
3902,614276.3255,9418670.1326
398,614052.3255,9418741.9906
3903,614276.3255,9418677.3326
399,614052.3255,9418749.4906
3904,614276.3255,9418685.3326
400,614052.3255,9418753.8486
3905,614276.3255,9418692.8326
401,614052.3255,9418761.1486
3906,614276.3255,9418700.3326
402,614052.3255,9418768.4486
3907,614276.3255,9418704.6906
403,614052.3255,9418775.6486
3908,614276.3255,9418711.9906
404,614052.3255,9418783.6486
3909,614276.3255,9418719.2906
405,614052.3255,9418791.1486
3910,614276.3255,9418726.4906
406,614052.3255,9418798.6486
3911,614276.3255,9418734.4906
407,614052.3255,9418803.0066
3912,614276.3255,9418741.9906
408,614052.3255,9418810.3066
3913,614276.3255,9418749.4906
409,614052.3255,9418817.6066
3914,614276.3255,9418753.8486
410,614052.3255,9418824.8066
3915,614276.3255,9418761.1486
411,614052.3255,9418832.8066
3916,614276.3255,9418768.4486
412,614052.3255,9418840.3066
3917,614276.3255,9418775.6486
413,614052.3255,9418847.8066
3918,614276.3255,9418783.6486
414,614052.3255,9418852.1646
3919,614276.3255,9418791.1486
415,614052.3255,9418859.4646
3920,614276.3255,9418798.6486
416,614052.3255,9418866.7646
3921,614276.3255,9418803.0066
417,614052.3255,9418873.9646
3922,614276.3255,9418810.3066
418,614052.3255,9418881.9646
3923,614276.3255,9418817.6066
419,614052.3255,9418889.4646
3924,614276.3255,9418824.8066
420,614052.3255,9418896.9646
3925,614276.3255,9418832.8066
421,614052.3255,9418901.3226
3926,614276.3255,9418840.3066
422,614052.3255,9418908.6226
3927,614276.3255,9418847.8066
423,614052.3255,9418915.9226
3928,614276.3255,9418852.1646
424,614052.3255,9418923.1226
3929,614276.3255,9418859.4646
425,614052.3255,9418931.1226
3930,614276.3255,9418866.7646
426,614052.3255,9418938.6226
3931,614276.3255,9418873.9646
427,614052.3255,9418946.1226
3932,614276.3255,9418881.9646
428,614052.3255,9418950.4806
3933,614276.3255,9418889.4646
429,614052.3255,9418957.7806
3934,614276.3255,9418896.9646
430,614052.3255,9418965.0806
3935,614276.3255,9418901.3226
431,614052.3255,9418972.2806
3936,614276.3255,9418908.6226
432,614052.3255,9418980.2806
3937,614276.3255,9418915.9226
433,614052.3255,9418987.7806
3938,614276.3255,9418923.1226
434,614052.3255,9418995.2806
3939,614276.3255,9418931.1226
435,614052.3255,9418999.6386
3940,614276.3255,9418938.6226
436,614052.3255,9419006.9386
3941,614276.3255,9418946.1226
437,614052.3255,9419014.2386
3942,614276.3255,9418950.4806
438,614052.3255,9419021.4386
3943,614276.3255,9418957.7806
439,614052.3255,9419029.4386
3944,614276.3255,9418965.0806
440,614052.3255,9419036.9386
3945,614276.3255,9418972.2806
441,614052.3255,9419044.4386
3946,614276.3255,9418980.2806
442,614052.3255,9419048.7966
3947,614276.3255,9418987.7806
443,614052.3255,9419056.0966
3948,614276.3255,9418995.2806
444,614052.3255,9419063.3966
3949,614276.3255,9418999.6386
445,614052.3255,9419070.5966
3950,614276.3255,9419006.9386
446,614052.3255,9419078.5966
3951,614276.3255,9419014.2386
447,614052.3255,9419086.0966
3952,614276.3255,9419021.4386
448,614052.3255,9419093.5966
3953,614276.3255,9419029.4386
449,614065.5255,9417524.8986
3954,614276.3255,9419036.9386
450,614065.5255,9417532.1986
3955,614276.3255,9419044.4386
451,614065.5255,9417539.4986
